time,ecg
0.0,-0.042183360848950746
0.004,-0.03005678497295166
0.008,-0.028711418257793952
0.012,-0.027213878753232203
0.016,0.005946618109279809
0.02,-0.020563836520347056
0.024,-0.0012601212651070347
0.028,0.03890939643714415
0.032,-0.009117063884802393
0.036000000000000004,0.01646194695631745
0.04,-0.01919602963198755
0.044,0.005128678718151174
0.048,-0.015251859330252623
0.052000000000000005,-0.006617035061581338
0.056,0.02110019647194155
0.06,-0.03697105858923562
0.064,0.023191778227253976
0.068,0.01650760698419406
0.07200000000000001,-0.010930551164263917
0.076,-0.03399574077988842
0.08,0.010077134570005112
0.084,0.0011544723808958515
0.088,0.018440309053738856
0.092,0.00652719793382147
0.096,0.0442563100611231
0.1,0.004344499987932108
0.10400000000000001,-0.00914286577807696
0.108,0.0191562898065366
0.112,0.013529946461212996
0.116,0.0402387283725194
0.12,0.03325136550310598
0.124,0.027409460562566913
0.128,0.05329792910599698
0.132,-0.01965031719137452
0.136,-0.007698320957556761
0.14,-0.008756760501808437
0.14400000000000002,0.010774044828330439
0.148,-0.015672711961533057
0.152,0.027974023849700404
0.156,0.004763724191458565
0.16,-0.02034143458718735
0.164,-0.002851914549621727
0.168,0.028597675775926496
0.17200000000000001,0.035060845099247215
0.176,0.06224696518201773
0.18,0.09128158405261017
0.184,0.034900924227577096
0.188,-0.0019787431475450402
0.192,-0.03719691330857009
0.196,0.02101465314217963
0.2,0.0001012081054860628
0.20400000000000001,0.016142938071295666
0.20800000000000002,0.009439868108671295
0.212,0.014563376153154096
0.216,0.04294653320740883
0.22,0.02632229756802681
0.224,0.024528465911217327
0.228,0.0008144658642523575
0.232,-0.021824409843121655
0.23600000000000002,0.0060947863642644914
0.24,0.023002878062196665
0.244,0.07463982783167523
0.248,0.03190582046416868
0.252,0.04655028420135389
0.256,0.007705389334353848
0.26,-0.003344362582674884
0.264,0.008242518127414583
0.268,0.012445173462975998
0.272,0.07711992017570649
0.276,0.0015813391580949444
0.28,0.04917508311672029
0.28400000000000003,0.011741565941202427
0.28800000000000003,0.055827897142992584
0.292,0.03552429365036963
0.296,0.02023778094386414
0.3,0.029298836999331883
0.304,0.020147408245440673
0.308,0.0460302828914248
0.312,0.01705642632572682
0.316,-0.003696735956981806
0.32,0.0015053390315162354
0.324,0.04442202072433515
0.328,0.0785318819071178
0.332,0.03734924450285661
0.336,0.029819650172352316
0.34,0.04757022686156016
0.34400000000000003,0.0810810588396875
0.34800000000000003,0.05445284855702548
0.352,0.03482009616423764
0.356,0.07424705111612805
0.36,0.06721255573935242
0.364,0.10531902018036424
0.368,0.07456419351677367
0.372,0.03802885252540868
0.376,0.03837315395690167
0.38,0.1259825516603649
0.384,0.14011934137791174
0.388,0.09700968510965717
0.392,0.09138313683786452
0.396,0.1415250619124196
0.4,0.08872563647747475
0.404,0.10476567701354433
0.40800000000000003,0.14521599918152175
0.41200000000000003,0.11540423743574431
0.41600000000000004,0.12505500431536043
0.42,0.1277322836482872
0.424,0.14570560743461483
0.428,0.1688508415932733
0.432,0.12635548246417477
0.436,0.13450147729838868
0.44,0.06849959950071596
0.444,0.11920597556394481
0.448,0.09162783608766854
0.452,0.06933616032833262
0.456,0.06969317758559432
0.46,0.083057765271784
0.464,0.11425819700808856
0.468,0.050574104794187336
0.47200000000000003,0.07240448193178774
0.47600000000000003,0.052785608387508696
0.48,0.05834758305836184
0.484,0.09378533110652496
0.488,0.07698131762312209
0.492,0.087399171530615
0.496,0.04587248416398732
0.5,0.03641015010298715
0.504,0.052653530822641265
0.508,0.061185626206341465
0.512,0.05180767883474042
0.516,0.017657531763326753
0.52,0.052489015873133524
0.524,0.061573076611285776
0.528,0.11671527907597061
0.532,0.09378414200491599
0.536,0.02314508532219166
0.54,0.04147143701947259
0.544,0.013302990507748413
0.548,0.024127999233282536
0.552,0.027846113290499054
0.556,0.03997959666884091
0.56,0.006933313438009146
0.5640000000000001,0.05785936299623244
0.5680000000000001,0.10635629853123646
0.5720000000000001,0.28124019314415893
0.5760000000000001,0.4218008324498613
0.58,0.6218218398283467
0.584,0.7979520776381545
0.588,0.9763986714425422
0.592,1.0557895595345166
0.596,1.1423058711207552
0.6,1.2624125141845879
0.604,1.1456185348654069
0.608,1.0521950697660374
0.612,0.9734818743109929
0.616,0.8197475559545457
0.62,0.5311617223806826
0.624,0.37020385997748806
0.628,0.2221715651861422
0.632,0.12207964600613443
0.636,-0.033712040780655095
0.64,-0.054237679240056895
0.644,-0.0338897582436039
0.648,-0.032384986503946826
0.652,-0.03548435843856751
0.656,-0.004557963362177758
0.66,-0.005813350806566815
0.664,0.046923128443102494
0.668,0.05714363759831691
0.672,0.07134426283480398
0.676,0.05544433649366838
0.68,0.09123098245661555
0.684,0.11418571979282693
0.6880000000000001,0.09411703908259009
0.6920000000000001,0.09560957881485381
0.6960000000000001,0.08982833593272563
0.7000000000000001,0.09835814210879262
0.704,0.09049039960086015
0.708,0.11906245294016608
0.712,0.10680898609348799
0.716,0.16488657007574528
0.72,0.16344919427796717
0.724,0.1456767812846646
0.728,0.12133932509119669
0.732,0.11246775405327261
0.736,0.17513518955924
0.74,0.1652201311698581
0.744,0.1842637800305802
0.748,0.13466202786789278
0.752,0.20287441729417913
0.756,0.19757482009435137
0.76,0.17307262695363704
0.764,0.20383446559680474
0.768,0.22924773106559101
0.772,0.2262090181503269
0.776,0.22474522721127507
0.78,0.24448484371607546
0.784,0.2557255220172242
0.788,0.27278009760256894
0.792,0.3076369112540395
0.796,0.21319794827035726
0.8,0.2855420854629691
0.804,0.3096142820481766
0.808,0.3180346852575312
0.812,0.3014214256759973
0.8160000000000001,0.27123044988591827
0.8200000000000001,0.33508364734648766
0.8240000000000001,0.3811757543303759
0.8280000000000001,0.30219795110519837
0.8320000000000001,0.35911127809309895
0.836,0.3304073785277288
0.84,0.3453118957917997
0.844,0.3279604649107384
0.848,0.34467329983723816
0.852,0.37860676562575174
0.856,0.35780973591966886
0.86,0.3907746251122908
0.864,0.38033902255945684
0.868,0.35666538855870994
0.872,0.3784572981538885
0.876,0.3391706336980938
0.88,0.3494485148716842
0.884,0.3212604622949801
0.888,0.3217983754025588
0.892,0.28875621988987316
0.896,0.3213871067682775
0.9,0.2651126975220696
0.904,0.31169093480780574
0.908,0.276739894765664
0.912,0.29504487056191464
0.916,0.27348292033911087
0.92,0.29693484125074654
0.924,0.26632578540281504
0.928,0.19749146369421966
0.932,0.2190165758670355
0.936,0.1802459390174684
